1	78 79 144 167 202 204 
2	48 70 144 237 261 310 
3	233 
4	34 45 53 130 289 301 
5	71 223 227 262 296 307 
6	278 
7	14 36 166 229 288 292 
8	74 147 157 278 285 306 
9	124 
10	166 
11	58 156 248 297 307 313 
12	156 
13	175 
14	32 
15	211 
16	7 23 50 156 208 326 
17	178 
18	139 
19	36 
20	74 135 211 217 244 245 
21	145 
22	10 78 124 145 214 270 
23	25 33 38 102 186 297 
24	35 125 139 238 241 279 
25	142 176 235 246 287 305 
26	28 82 90 94 131 220 
27	278 
28	103 227 235 244 260 290 
29	114 128 132 159 191 261 
30	107 133 140 145 217 328 
31	31 61 75 115 140 294 
32	37 149 154 174 191 277 
33	233 
34	286 
35	95 
36	18 44 91 206 293 300 
37	12 
38	59 
39	14 162 178 194 262 287 
40	272 
41	160 
42	8 
43	292 
44	156 
45	33 
46	136 
47	279 
48	87 
49	37 
50	314 
51	261 
52	82 
53	133 
54	228 
55	247 
56	86 231 241 260 311 312 
57	290 
58	154 
59	101 
60	155 
61	20 47 62 103 140 266 
62	39 
63	13 95 133 244 260 271 
64	203 
65	4 10 95 210 212 241 
66	26 
67	11 55 150 161 214 289 
68	170 
69	260 
70	36 58 60 169 191 306 
71	275 
72	214 
73	235 
74	102 141 191 247 280 321 
75	108 
76	3 
77	3 87 237 241 301 310 
78	110 
79	148 
80	203 
81	23 32 128 226 234 319 
82	202 
83	45 126 194 251 260 285 
84	101 
85	142 
86	79 
87	154 
88	59 75 114 121 178 242 
89	85 
90	90 
91	137 
92	174 
93	26 
94	283 
95	72 139 192 203 269 299 
96	154 
97	113 
98	51 150 206 215 237 269 
99	86 
100	299 
101	258 
102	66 
103	265 
104	41 127 140 196 209 217 
105	51 122 182 260 288 314 
106	88 
107	174 226 260 265 275 277 
108	290 
109	4 59 87 116 121 267 
110	292 
111	49 177 188 216 239 251 
112	312 
113	20 
114	63 
115	24 27 87 112 238 306 
116	6 35 75 137 174 297 
117	229 
118	95 101 169 175 261 278 
119	82 95 112 122 130 287 
120	244 
121	73 125 135 174 187 254 
122	35 41 70 110 194 239 
123	101 114 232 237 292 305 
124	98 160 188 274 300 307 
125	135 
126	160 
127	142 165 177 184 237 258 
128	280 
129	22 171 189 202 277 306 
130	75 
131	34 100 158 162 239 325 
132	321 
133	21 
134	15 72 137 150 299 307 
135	74 
136	238 
137	41 64 82 209 296 314 
138	68 
139	80 189 191 216 292 299 
140	127 
141	81 95 107 203 275 326 
142	148 
143	51 87 109 118 139 240 
144	259 
145	14 139 157 198 204 228 
146	187 191 201 237 322 324 
147	6 10 147 216 231 237 
148	320 
149	36 75 109 131 158 178 
150	11 23 114 139 272 310 
151	160 
152	17 44 66 135 195 268 
153	25 26 77 182 297 317 
154	327 
155	176 
156	165 
157	23 59 106 200 320 321 
158	7 37 78 188 222 306 
159	6 22 203 205 206 227 
160	29 48 203 260 292 317 
161	109 
162	310 
163	251 
164	64 92 116 173 178 266 
165	283 
166	28 41 199 206 236 331 
167	90 
168	226 
169	27 66 70 86 125 305 
170	212 
171	1 38 110 166 218 306 
172	4 80 218 256 278 280 
173	19 
174	54 127 158 180 232 327 
175	330 
176	46 48 201 227 248 265 
177	41 48 75 90 153 214 
178	29 52 100 107 213 222 
179	253 
180	197 
181	207 
182	26 34 45 122 221 318 
183	265 
184	88 
185	327 
186	1 71 198 246 306 313 
187	76 98 143 192 202 287 
188	126 147 148 183 276 317 
189	136 
190	197 
191	88 
192	90 102 125 212 213 231 
193	88 
194	46 169 204 273 329 332 
195	27 66 268 279 302 310 
196	279 
197	70 
198	299 
199	55 
200	117 
201	35 49 57 131 153 282 
202	295 
203	94 
204	153 189 190 224 261 272 
205	233 
206	279 
207	188 
208	189 
209	154 
210	21 73 173 174 219 232 
211	251 
212	72 
213	21 38 55 67 114 196 
214	46 107 139 198 203 233 
215	183 
216	124 
217	30 115 124 214 233 300 
218	41 61 72 87 232 261 
219	50 
220	241 
221	6 47 72 203 252 332 
222	64 93 142 149 161 265 
223	149 206 222 226 270 314 
224	105 118 198 199 294 310 
225	2 9 37 52 86 177 
226	48 
227	60 124 183 189 279 298 
228	34 56 78 134 203 261 
229	94 
230	4 28 103 124 262 286 
231	45 88 122 160 264 291 
232	27 
233	101 
234	70 
235	164 
236	154 
237	68 70 144 194 250 330 
238	312 
239	41 52 233 278 295 330 
240	50 114 118 149 188 274 
241	299 
242	32 57 91 190 238 299 
243	105 
244	260 
245	140 
246	285 
247	294 
248	5 28 60 204 261 274 
249	237 
250	54 82 189 205 288 325 
251	60 115 177 194 270 279 
252	96 150 188 227 250 291 
253	318 
254	86 135 145 214 311 330 
255	90 163 177 179 278 315 
256	224 
257	203 
258	127 
259	75 90 209 251 253 265 
260	230 
261	14 142 153 161 258 275 
262	85 
263	216 
264	33 48 144 221 246 278 
265	57 116 187 191 216 237 
266	139 
267	43 142 186 245 272 327 
268	14 
269	63 167 203 251 263 327 
270	279 
271	186 
272	241 
273	256 
274	168 
275	20 124 234 251 260 321 
276	199 
277	61 76 79 156 178 198 
278	317 
279	97 
280	307 
281	105 109 142 184 198 247 
282	87 
283	242 
284	10 58 78 185 226 248 
285	26 48 100 102 126 185 
286	259 
287	161 178 189 261 312 321 
288	179 
289	209 
290	46 101 159 174 235 311 
291	45 95 166 214 249 282 
292	3 29 92 174 239 266 
293	22 122 162 272 280 324 
294	291 
295	192 
296	332 
297	13 40 82 102 112 215 
298	211 
299	44 59 149 150 177 271 
300	16 29 34 239 287 313 
301	100 136 140 215 223 330 
302	277 
303	328 
304	27 109 110 203 268 280 
305	27 77 250 276 306 330 
306	110 
307	124 
308	34 43 64 67 106 330 
309	287 
310	131 
311	108 
312	27 41 150 184 232 262 
313	154 
314	267 
315	18 89 125 235 280 295 
316	33 58 66 104 211 302 
317	86 115 119 219 225 259 
318	74 107 134 143 175 254 
319	73 
320	200 
321	39 72 97 209 215 319 
322	40 
323	84 85 152 163 307 321 
324	188 
325	23 66 190 198 199 310 
326	282 
327	153 
328	252 
329	53 79 130 229 245 274 
330	95 145 191 306 326 328 
331	35 42 188 203 209 286 
332	127 188 207 211 284 301 
333	64 75 110 257 273 310 
334	318 
335	174 184 188 271 307 329 
336	314 
337	268 
338	105 182 188 199 211 303 
339	94 110 178 195 270 299 
340	57 63 99 107 115 125 
341	69 101 123 184 208 326 
342	285 
343	270 
344	150 
345	222 
346	20 56 72 164 188 247 
347	258 
348	101 
349	266 
350	50 59 148 149 177 192 
351	90 142 144 177 189 253 
352	50 119 157 169 202 327 
353	95 
354	23 211 222 244 255 299 
355	289 
356	41 53 59 103 178 282 
357	52 
358	330 
359	56 241 261 265 300 326 
360	6 110 155 206 215 330 
361	17 39 46 74 180 250 
362	1 
363	164 
364	148 
365	324 
366	174 
367	258 
368	139 
369	323 
370	295 
371	68 177 220 266 270 281 
372	54 
373	228 
374	188 
375	208 
376	92 118 120 153 200 215 
377	22 103 164 230 235 239 
378	25 50 118 147 221 277 
379	110 
380	227 
381	77 
382	56 157 180 290 295 305 
383	36 109 118 129 235 330 
384	52 61 171 172 273 315 
385	48 56 181 211 222 257 
386	70 102 192 205 236 314 
387	8 
388	319 
389	17 78 115 131 227 230 
390	66 75 147 164 265 305 
391	34 
392	13 39 78 139 186 273 
393	23 84 152 200 257 306 
394	86 181 204 224 241 261 
395	72 
396	47 
397	75 102 145 150 167 261 
398	27 90 164 235 243 273 
399	9 129 147 184 215 287 
400	276 
401	197 
402	145 
403	46 134 150 201 255 303 
404	241 
405	40 99 146 281 301 332 
406	19 112 142 194 215 311 
407	93 
408	124 274 277 281 290 302 
409	119 
410	183 
411	136 
412	198 
413	184 
414	292 
415	175 
416	98 124 258 311 319 330 
417	291 
418	209 
419	7 112 114 153 235 294 
420	49 72 112 147 200 255 
421	41 103 122 127 200 302 
422	312 
423	295 
424	17 40 150 169 190 265 
425	33 
426	257 
427	161 
428	234 
429	53 111 175 203 251 305 
430	24 26 46 192 236 331 
431	129 
432	108 122 159 170 192 221 
433	115 196 218 219 286 324 
434	90 
