1	2946
1	3084
1	4356
1	4887
2	3061
2	4307
2	4817
2	4947
3	2501
3	2921
3	3932
3	4066
4	2769
4	3368
4	4632
4	4714
5	3517
5	3578
5	4261
5	4717
6	2379
6	4465
6	4791
6	4967
7	1714
7	3430
7	4678
7	4957
8	2831
8	3565
8	4270
8	4838
9	3975
9	4303
9	4478
9	4893
10	2979
10	3016
10	4004
10	4422
11	2643
11	4370
11	4487
11	4772
12	2690
12	4397
12	4508
12	4963
13	190
13	3109
13	3998
13	4866
14	4477
14	4507
14	4736
14	4962
15	1548
15	4609
15	4661
15	4958
16	4749
16	4772
16	4840
16	4969
17	3192
17	4187
17	4463
17	4677
18	4403
18	4461
18	4619
18	4705
19	3008
19	3090
19	4861
19	4990
20	1430
20	2341
20	3267
20	4399
21	2577
21	3859
21	4678
21	4911
22	1189
22	1654
22	3167
22	4226
23	878
23	1116
23	3376
23	4741
24	3952
24	4559
24	4948
24	4968
25	3546
25	3789
25	4399
25	4757
26	3071
26	3538
26	4573
26	4797
27	4080
27	4081
27	4758
27	4782
28	1875
28	2063
28	4699
28	4954
29	3906
29	4210
29	4636
29	4735
30	3873
30	4390
30	4790
30	4931
31	405
31	1608
31	4470
31	4959
32	4675
32	4820
32	4897
32	4938
33	3892
33	4065
33	4311
33	4811
34	1560
34	3421
34	4868
34	4918
35	2585
35	3115
35	4415
35	4451
36	3530
36	4144
36	4236
36	4367
37	173
37	3168
37	3263
37	4918
38	781
38	1088
38	3987
38	4785
39	66
39	2452
39	4294
39	4801
40	3915
40	4184
40	4958
40	4998
41	391
41	2666
41	3055
41	3263
42	2855
42	4720
42	4894
42	4994
43	2844
43	4263
43	4387
43	4983
44	1274
44	1823
44	4577
44	4779
45	624
45	2508
45	4869
45	4970
46	3246
46	4380
46	4489
46	4693
46	4882
47	4111
47	4156
47	4632
47	4999
48	4163
48	4846
48	4852
48	4907
49	2942
49	4498
49	4613
49	4931
50	1315
50	2901
50	3180
50	4889
51	1219
51	2578
51	4255
51	4720
52	3294
52	4960
52	4985
52	4994
53	3659
53	3983
53	4397
53	4506
54	3503
54	3510
54	4739
54	4797
55	2179
55	4228
55	4719
55	4881
56	4730
56	4777
56	4789
56	4994
57	2085
57	4551
57	4614
57	4720
58	3210
58	4803
58	4889
58	4977
59	2878
59	4143
59	4245
59	4829
60	1850
60	1876
60	2383
60	4936
61	2921
61	2948
61	2961
61	4807
62	3576
62	4206
62	4932
62	4940
63	3480
63	3689
63	4414
63	4766
64	4146
64	4192
64	4676
64	4810
65	591
65	3488
65	4642
65	4788
66	39
66	4622
66	4793
66	4825
67	2170
67	4264
67	4677
67	4902
68	2594
68	2747
68	4934
68	4990
69	1008
69	2416
69	4126
69	4925
70	938
70	4815
70	4875
70	4995
71	3952
71	4510
71	4513
71	4815
72	3721
72	4373
72	4895
72	4975
73	184
73	3447
73	4823
73	4876
74	184
74	941
74	3698
74	4979
75	1530
75	4311
75	4549
75	4956
76	3294
76	3855
76	4960
76	4985
77	1298
77	3673
77	4017
77	4781
78	1833
78	3320
78	4095
78	4888
79	3016
79	4643
79	4926
79	4937
80	4085
80	4580
80	4595
80	4861
81	2955
81	3122
81	4774
81	4828
82	922
82	980
82	4529
82	4912
83	2928
83	3187
83	4590
83	4675
84	1488
84	2755
84	4455
84	4670
85	3309
85	4345
85	4811
85	4901
86	979
86	4162
86	4916
86	4992
87	98
87	703
87	2876
87	3004
88	2118
88	2965
88	4530
88	4918
89	1995
89	2682
89	4493
89	4884
90	483
90	1803
90	3094
90	4977
91	269
91	4279
91	4671
91	4817
92	2411
92	4170
92	4621
92	4733
93	1266
93	1446
93	4227
93	4770
94	4067
94	4673
94	4720
94	4770
95	3691
95	3897
95	4425
95	4837
96	3539
96	4613
96	4931
96	4982
97	1532
97	4594
97	4740
97	4895
98	87
98	1732
98	3004
98	4917
99	562
99	3891
99	4564
99	4723
100	2332
100	2884
100	3873
100	4068
101	1074
101	2022
101	4831
101	4997
102	2547
102	3856
102	4979
102	5000
103	4608
103	4861
103	4943
103	4950
104	583
104	1899
104	4535
104	4748
105	1996
105	4047
105	4623
105	4722
105	4929
106	3419
106	3729
106	4382
106	4751
107	2143
107	2856
107	3382
107	3837
108	1444
108	4767
108	4822
108	4992
109	4541
109	4590
109	4869
109	4893
110	1285
110	3877
110	4363
